"SUBMITTED_DATE","CASE_NO","NAME","ADDRESS","ADDRESS2","CITY","STATE","POSTAL_CODE","NBR_IMMIGRANTS","BEGIN_DATE","END_DATE","JOB_TITLE","DOL_DECISION_DATE","CERTIFIED_BEGIN_DATE","CERTIFIED_END_DATE","JOB_CODE","APPROVAL_STATUS","WAGE_RATE_1","RATE_PER_1","MAX_RATE_1","PART_TIME_1","CITY_1","STATE_1","PREVAILING_WAGE_1","WAGE_SOURCE_1","YR_SOURCE_PUB_1","OTHER_WAGE_SOURCE_1","WAGE_RATE_2","RATE_PER_2","MAX_RATE_2","PART_TIME_2","CITY_2","STATE_2","PREVAILING_WAGE_2","WAGE_SOURCE_2","YR_SOURCE_PUB_2","OTHER_WAGE_SOURCE_2"
2002-01-14 09:46:00,"I-02014-0000001","Monsanto Company","800 N. Lindbergh Blvd.","E2NK","St. Louis","MO","63167     ","001","03/15/2002","03/15/2005","MOLECULAR BIOLOGIST","01/14/2002","03/15/2002","03/15/2005","040","Certified",66700.00000,"Year",,"N","ST. LOUIS","MO",38869.00000,"Other","2002","ERI SALARY ASSESSOR","","","","","","","","","",""
2002-01-14 09:49:00,"I-02014-0000003","Priceline.com LLC","800 Connecticut Avenue","","Norwalk","CT","06954     ","001","02/02/2002","02/02/2005","Principal Software Engineer","01/14/2002","02/02/2002","02/02/2005","030","Certified",123936.00000,"Year",,"N","Norwalk","CT",70138.00000,"Other","2001","Online Wage Library","","","","","","","","","",""
2002-01-14 09:58:00,"I-02014-0000005","Vestrust Securities L.P.","355 Alhambra Circle","Suite 1201","Coral Gables","FL","33134     ","001","02/01/2002","02/01/2005","Associate Sales & Distribution","01/14/2002","02/01/2002","02/01/2005","050","Certified",40000.00000,"Year",50000.00000,"N","Coral Gables","FL",35298.00000,"Other","2002","OES/SOC Wage Survey","","","","","","","","","",""
2002-01-14 10:08:00,"I-02014-0000007","Cleveland Clinic Foundation","9500 Euclid Avenue","NA23","Cleveland","OH","44195     ","001","07/01/2002","06/30/2005","resident physician","01/14/2002","07/01/2002","06/30/2005","079","Certified",35995.00000,"Year",,"N","Cleveland","OH",37208.00000,"Other","2001","AAMC House Staff Stipends","","","","","","","","","",""
2002-01-14 10:08:00,"I-02014-0000009","World Data Incorporated","1015 18th Street","Suite 710","Washington","DC","20036     ","001","01/15/2002","01/15/2005","Market Research Analyst","01/14/2002","01/15/2002","01/15/2005","163","Certified",35608.00000,"Year",,"N","Washington","DC",37482.00000,"Other","2002","OES Wage Data Survey","","","","","","","","","",""
2002-01-14 10:13:00,"I-02014-0000011","Cleveland Clinic Foundation","9500 Euclid Avenue","NA23","Cleveland","OH","44195     ","001","02/01/2002","01/31/2005","fellow doctor","01/14/2002","02/01/2002","01/31/2005","079","Certified",45717.00000,"Year",,"N","Cleveland","OH",45465.00000,"Other","2001","AAMC House Staff Stipends","","","","","","","","","",""
2002-01-14 10:14:00,"I-02014-0000013","World Data Incorporated","1015 18th Street","Suite 710","Washington","DC","20036     ","001","01/15/2002","01/15/2005","Market Research Analyst","01/14/2002","01/15/2002","01/15/2005","163","Certified",35608.00000,"Year",,"N","Washington DC","DC",37482.00000,"Other","2002","OES Wage Data Survey","","","","","","","","","",""
2002-01-14 10:23:00,"I-02014-0000015","Satyam Computer Services LTD.","8500 Leesburg Pike","Suite 202","Vienna","VA","22182     ","010","01/14/2002","01/14/2005","Systems Analyst","01/14/2002","01/14/2002","01/14/2005","030","Certified",53000.00000,"Year",60000.00000,"N","Los Angeles","CA",39000.00000,"Other","2002","Watson Wyatt Data Services","","","","","","","","","",""
2002-01-14 10:23:00,"I-02014-0000017","Harvard University","Harvard International Office","1350 Massachusetts Avenue","Cambridge","MA","02138     ","001","03/01/2002","06/30/2004","Lecturer","01/14/2002","03/01/2002","06/30/2004","090","Certified",13.78000,"Hour",,"Y","Cambridge","MA",14.07000,"SESA","","","","","","","","","","","",""
2002-01-14 10:25:00,"I-02014-0000019","Pechiney Plastic Pachaging","8770 W Bryn Mawr","","Chicago","IL","60631     ","001","01/30/2002","01/29/2005","Sales Engineer","01/14/2002","01/30/2002","01/29/2005","003","Certified",51000.00000,"Year",,"N","Strongsville","OH",37024.00000,"Other","2002","OES WAGE DATA","","","","","","","","","",""
2002-01-14 10:35:00,"I-02014-0000021","International Business Machines","4800 Falls of Neuse Rd","","Raleigh","NC","27609     ","001","03/01/2002","03/01/2005","Business Analyst","01/14/2002","","","030","Denied",90000.00000,"Year",105000.00000,"N","White Plains","NY",94806.00000,"Other","2002","oes wage data","","","","","","","","","",""
2002-01-14 10:36:00,"I-02014-0000023","Garden State Orthopaedic Associates, P.A.","28-04 Broadway","","Fair Lawn","NJ","07410     ","001","02/19/2002","02/18/2005","Radiologic Technologist","01/14/2002","02/19/2002","02/18/2005","078","Certified",41000.00000,"Year",,"N","Fair Lawn","NJ",35256.00000,"Other","2002","OES Wage Data","","","","","","","","","",""
2002-01-14 10:36:00,"I-02014-0000025","UUNET A WorldCom Company","22001Loudoun County Parkway","","Ashburn","VA","20147     ","001","02/11/2002","02/11/2005","Account Executive I","01/14/2002","02/11/2002","02/11/2005","163","Certified",27645.00000,"Year",37200.00000,"N","Ashburn","VA",29100.00000,"Other","2001","WM Mercer Telecom Ind Comp Svy","","","","","","","","","",""
2002-01-14 10:42:00,"I-02014-0000027","Atto Bioscience Inc","15010 Broschart Road","","Rockville","MD","20850     ","001","01/18/2002","01/18/2005","Imaging Business Support Manager","01/14/2002","01/18/2002","01/18/2005","189","Certified",64000.00000,"Year",90000.00000,"N","Rockville","MD",67091.00000,"Other","2002","ERI Wage Survey","","","","","","","","","",""
2002-01-14 10:49:00,"I-02014-0000029","PTEK Holdings, Inc.","3399 Peachtree Road NE","The Lenox Building, Ste. 600","Atlanta","GA","30326     ","001","02/02/2002","02/02/2005","Software Engineer","01/14/2002","02/02/2002","02/02/2005","030","Certified",71887.00000,"Year",81745.00000,"N","Atlanta","GA",75670.00000,"Other","2002","OES Online Wage Library","","","","","","","","","",""
2002-01-14 10:56:00,"I-02014-0000033","Minnesota State University Moorhead","1104 7th Avenue South","","Moorhead","MN","56563     ","001","05/15/2002","05/15/2005","Assistant Professor","01/14/2002","05/15/2002","05/15/2005","090","Certified",44131.00000,"Year",,"N","Moorhead","MN",44131.00000,"Collective Bargaining Agreement","","","","","","","","","","","",""
2002-01-14 11:08:00,"I-02014-0000035","GENESYS Consulting Services, Inc.","2 Computer Drive West Suite 101","","Albany","NY","12205     ","001","01/21/2002","01/20/2005","Senior Computer Programmer","01/14/2002","01/21/2002","01/20/2005","030","Certified",75200.00000,"Year",,"N","Albany","NY",65603.00000,"Other","2002","Online Wage Library","","","","","","","","","",""
2002-01-14 11:19:00,"I-02014-0000037","American Bureau of Shipping","16855 Northchase Drive","","Houston","TX","77060     ","001","01/21/2002","01/21/2005","Industrial Engineer","01/14/2002","01/21/2002","01/21/2005","012","Certified",51000.00000,"Year",,"N","Houston","TX",46134.00000,"Other","2001","Oes Wage Data Services","","","","","","","","","",""
2002-01-14 11:29:00,"I-02014-0000039","DOLPHIN MOBILE MARINE SERVICE","1567 NORTH DIXIE HIGHWAY","","POMPANO BEACH","FL","33064     ","001","03/01/2002","03/01/2005","MARINE TECHNICIAN","01/14/2002","03/01/2002","03/01/2005","199","Certified",17.00000,"Hour",,"N","POMPANO BEACH","FL",13.67000,"Other","2002","ONLINE WAGE LIBRARY","","","","","","","","","",""
2002-01-14 11:29:00,"I-02014-0000041","Data Conversion Incorporated","238 Main Street","","Cambridge","MA","02142     ","015","01/14/2002","01/14/2005","Programmer Analyst","01/14/2002","01/14/2002","01/14/2005","030","Certified",35000.00000,"Year",50000.00000,"N","Portsmouth","NH",28808.00000,"Other","2001","OES Wage Data Survey","35000","Year","50000","N","Las Vegas","NV","35256","Other","2001","OES Wage Data Survey"
2002-01-14 11:30:00,"I-02014-0000043","University of California, Berkeley","SISS at International House","2299 Piedmont Avenue","Berkeley","CA","94720-2321","001","03/19/2002","03/08/2005","Postgraduate Researcher","01/14/2002","03/19/2002","03/08/2005","090","Certified",46056.00000,"Year",,"N","Berkeley","CA",25376.00000,"SESA","","","","","","","","","","","",""
2002-01-14 11:33:00,"I-02014-0000045","Specialty Clinics of St. Anne","350 Northeast 12th Street","","Guymon","OK","73942-3624","001","02/01/2002","02/01/2005","Staff Physician","01/14/2002","02/01/2002","02/01/2005","070","Certified",120000.00000,"Year",,"N","Guymon","OK",118207.00000,"Other","2001","Economic Research Institute 2001 Salary Assessor","","","","","","","","","",""
2002-01-14 11:34:00,"I-02014-0000047","Toyota Racing Development","335 East Baker Street","","Costa Mesa","CA","92626     ","001","02/01/2002","02/01/2005","Engineering Technician","01/14/2002","02/01/2002","02/01/2005","007","Certified",48000.00000,"Year",,"N","Costa Mesa","CA",47944.00000,"Other","2001","2001-2002 Watson Wyatt Survey","","","","","","","","","",""
2002-01-14 11:38:00,"I-02014-0000049","HOK Group, Inc.","211 N. Broadway","Suite 600","St. Louis","MO","63102     ","001","02/03/2002","02/02/2005","Facilities Planner","01/14/2002","02/03/2002","02/02/2005","019","Certified",60000.00000,"Year",,"N","New York","NY",53269.00000,"Other","2002","OES/SOC Online Wage Library","","","","","","","","","",""
2002-01-14 11:42:00,"I-02014-0000053","The University of Memphis","University Center 405","The University of Memphis","Memphis","TN","38152     ","001","05/14/2002","05/13/2005","Research Associate","01/14/2002","05/14/2002","05/13/2005","090","Certified",32000.00000,"Year",,"N","Memphis","TN",18366.00000,"SESA","","","","","","","","","","","",""
2002-01-14 11:43:00,"I-02014-0000055","SJM Jewelry & Diamonds Inc","1255 Rustic Ridge Drive","","Atlanta","GA","30319     ","001","01/14/2002","01/14/2005","ACCOUNTANT","01/14/2002","01/14/2002","01/14/2005","160","Certified",50000.00000,"Year",,"N","Atlanta","GA",50000.00000,"SESA","","","","","","","","","","","",""
